Key,Parameter,ja-jp,en-us,zh-cn,zh-tw,ko-kr,es-es,ar-sa,id-id
EffectName,,クロスハッチ陰影,Cross Hatch Shading,交叉排线阴影,交叉排線陰影,크로스해치 음영,Sombreado de trama cruzada,تظليل بالخطوط المتقاطعة,Bayangan Arsir Silang
BasicGroup,,基本,Basic,基本,基本,기본,Básico,أساسي,Dasar
ColorGroup,,色,Color,颜色,顏色,색상,Color,اللون,Warna
DetailGroup,,詳細,Detail,详细,詳細,상세,Detalle,تفاصيل,Detail
StyleName,,スタイル,Style,样式,樣式,스타일,Estilo,النمط,Gaya
StyleDesc,,線の方向と階調と質感のプリセットを選びます。,Selects a preset of line direction tone and texture.,选择线条方向、色调与质感的预设。,選擇線條方向、色調與質感的預設。,선 방향과 계조와 질감의 프리셋을 선택합니다.,Selecciona un preset de dirección tono y textura de línea.,يختار إعدادًا مسبقًا لاتجاه الخط ودرجته وملمسه.,Memilih preset arah nada dan tekstur garis.
AmountName,,適用量,Amount,应用量,套用量,적용량,Cantidad,المقدار,Jumlah
AmountDesc,,元映像とハッチ結果の合成量です。,Blends between the source and the hatched result.,混合原始画面与排线结果。,混合原始畫面與排線結果。,원본과 해칭 결과를 혼합합니다.,Mezcla entre el origen y el resultado de trama.,يمزج بين المصدر ونتيجة التظليل.,Mencampur sumber dengan hasil arsir.
DensityName,,密度,Density,密度,密度,밀도,Densidad,الكثافة,Kerapatan
DensityDesc,,線の間隔です。小さいほど線が密になります。,Spacing between lines. Smaller values pack lines tighter.,线条间隔。数值越小线条越密。,線條間隔。數值越小線條越密。,선 간격입니다. 값이 작을수록 선이 촘촘해집니다.,Espacio entre líneas. Valores menores las juntan más.,المسافة بين الخطوط. القيم الأصغر تقارب الخطوط.,Jarak antar garis. Nilai kecil merapatkan garis.
ThicknessName,,太さ,Thickness,粗细,粗細,굵기,Grosor,السماكة,Ketebalan
ThicknessDesc,,各ハッチ線の太さです。,Width of each hatch line.,每条排线的宽度。,每條排線的寬度。,각 해칭 선의 너비입니다.,Ancho de cada línea de trama.,عرض كل خط تظليل.,Lebar tiap garis arsir.
ShadowDepthName,,陰影,Shadow,阴影,陰影,음영,Sombra,الظل,Bayangan
ShadowDepthDesc,,暗部で線が増える強さです。,How strongly lines build up in dark areas.,暗部中线条增加的强度。,暗部中線條增加的強度。,어두운 영역에서 선이 늘어나는 강도입니다.,Cuánto se acumulan las líneas en zonas oscuras.,مدى تكاثف الخطوط في المناطق الداكنة.,Seberapa kuat garis menumpuk di area gelap.
FlowName,,流れ,Flow,流向,流向,흐름,Flujo,التدفق,Aliran
FlowDesc,,明暗の勾配へ線の向きを寄せる強さです。,How strongly line direction follows the luminance gradient.,线条方向顺应明暗梯度的强度。,線條方向順應明暗梯度的強度。,선 방향이 명암 기울기를 따르는 강도입니다.,Cuánto sigue la dirección de línea al gradiente de luz.,مدى اتباع اتجاه الخط لميل الإضاءة.,Seberapa kuat arah garis mengikuti gradien terang.
OutlineName,,輪郭,Outline,轮廓,輪廓,윤곽,Contorno,المخطط,Garis Tepi
